Species,Taxa2,Taxa,Class,Order,Family,Genus,Commercial,Origin,Online link,Habitat
Chromis chromis,Fish,Osteichthyes,Actinopterygii,Perciformes,Pomacentridae,Chromis,N,N,,Rocky
Citharus linguatula,Fish,Osteichthyes,Actinopterygii,Pleuronectiformes,Citharidae,Citharus,N,N,https://www.fishbase.se/summary/4943,Demersal fish
Conger conger,Fish,Osteichthyes,Actinopterygii,Anguilliformes,Congridae,Conger,Y,N,,Demersal fish
Cryptocentrus steinhardti,Fish,Osteichthyes,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus,N,I,,Demersal fish
Cynoglossus sinusarabici,Fish,Osteichthyes,Actinopterygii,Pleuronectiformes,Cynoglossidae,Cynoglossus,N,I,,Demersal fish
Cynoglossus sp.,Fish,Osteichthyes,Actinopterygii,Pleuronectiformes,Cynoglossidae,Cynoglossus,N,U,,Demersal fish
Dactylopterus volitans,Fish,Osteichthyes,Actinopterygii,Scorpaeniformes,Dactylopteridae,Dactylopterus,N,N,https://www.fishbase.se/summary/1021,Demersal fish
Dalophis imberbis,Fish,Osteichthyes,Actinopterygii,Anguilliformes,Ophichthidae,Dalophis,N,N,https://www.fishbase.se/summary/1789,Demersal fish
Dasyatis marmorata,Fish,Chondrichthyes,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,N,N,,Demersal fish
Dasyatis pastinaca,Fish,Chondrichthyes,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,N,N,https://www.fishbase.se/summary/2060,Demersal fish
Dasyatis sp.,Fish,Chondrichthyes,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,N,U,,Demersal fish
Decapterus russelli,Fish,Osteichthyes,Actinopterygii,Perciformes,Carangidae,Decapterus,Y,I,,Pelagic fish
Deltentosteus quadrimaculatus,Fish,Osteichthyes,Actinopterygii,Perciformes,Gobiidae,Deltentosteus,N,N,,Demersal fish
Dentex gibbosus,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Dentex,Y,N,,Demersal fish
